CITY,PRICE,STATE,COUNTY,ZIPCODE,BEDROOMS,LATITUDE,BATHROOMS,LONGITUDE,STATEFIPS,COUNTYFIPS,LISTEDDATE,CREATEDDATE,LISTINGTYPE,ADDRESSLINE1,DAYSONMARKET,LASTSEENDATE,PROPERTYTYPE,SQUAREFOOTAGE
Austin,1650,TX,Travis,78705,2,30.287423,1.0,-97.726106,48,453,2025-12-03,2023-05-26,Standard,2703 Swisher St,46,2026-01-17,Condo,774.0
Austin,1295,TX,Travis,78705,1,30.287033,1.0,-97.749077,48,453,2025-12-10,2023-05-04,Standard,1013 W 23rd St,39,2026-01-17,Apartment,480.0
Austin,1200,TX,Travis,78705,1,30.298438,1.0,-97.733803,48,453,2025-12-03,2023-06-24,Standard,3405 Helms St,46,2026-01-17,Apartment,480.0
Austin,2000,TX,Travis,78705,2,30.293694,2.0,-97.743718,48,453,2025-11-21,2019-07-06,Standard,2801 Rio Grande St,58,2026-01-17,Condo,832.0
Austin,2100,TX,Travis,78747,2,30.140979,2.5,-97.793832,48,453,2025-12-05,2025-12-06,Standard,10819 Crown Colony Dr,44,2026-01-17,Townhouse,1334.0
Austin,1295,TX,Travis,78705,1,30.287059,1.0,-97.74909,48,453,2025-12-04,2021-06-16,Standard,1013 W 23rd St,45,2026-01-17,Apartment,480.0
Austin,1750,TX,Travis,78705,2,30.290215,1.0,-97.745469,48,453,2025-12-04,2019-08-20,Standard,708 Graham Pl,45,2026-01-17,Condo,732.0
Austin,1250,TX,Travis,78744,2,30.197738,1.0,-97.742808,48,453,2025-12-04,2019-06-25,Standard,4600 Rocking Chair Rd,45,2026-01-17,Multi-Family,950.0
Austin,1100,TX,Travis,78724,1,30.321621,1.0,-97.583611,48,453,2025-11-29,2025-11-30,Standard,10346 Blue Bluff Rd,50,2026-01-17,Condo,825.0
Austin,1200,TX,Travis,78705,1,30.298438,1.0,-97.733803,48,453,2025-11-24,2020-02-15,Standard,3405 Helms St,55,2026-01-17,Apartment,480.0
Austin,995,TX,Travis,78751,2,30.305974,1.0,-97.714095,48,453,2025-12-09,2019-05-08,Standard,4709 Harmon Ave,40,2026-01-17,Apartment,700.0
Austin,2195,TX,Travis,78745,3,30.188556,2.5,-97.819724,48,453,2025-11-24,2025-11-25,Standard,8508 Brock Cir,55,2026-01-17,Single Family,1438.0
Austin,1295,TX,Travis,78705,1,30.292028,1.0,-97.726875,48,453,2025-11-19,2022-02-12,Standard,3212 Red River St,60,2026-01-17,Apartment,644.0
Austin,1175,TX,Travis,78752,2,30.335519,1.0,-97.706734,48,453,2025-11-29,2020-12-11,Standard,7302 Duval St,50,2026-01-17,Multi-Family,976.0
Austin,945,TX,Travis,78704,1,30.233942,1.0,-97.790734,48,453,2024-04-12,2019-11-01,Standard,4100 Victory Dr,365,2026-01-17,Apartment,544.0
Austin,1850,TX,Travis,78741,2,30.235593,1.0,-97.698811,48,453,2025-11-25,2021-09-03,Standard,6114 Hogan Ave,54,2026-01-17,Single Family,910.0
Austin,2140,TX,Travis,78758,1,30.397005,1.0,-97.724281,48,453,2025-12-06,2025-10-27,Standard,3100 Kramer Ln,43,2026-01-17,Apartment,725.0
Austin,1840,TX,Travis,78741,2,30.235612,2.5,-97.702908,48,453,2025-12-04,2025-07-15,Standard,1101 Grove Blvd,45,2026-01-17,Townhouse,1035.0
Austin,1650,TX,Travis,78704,2,30.236683,1.0,-97.747437,48,453,2025-12-04,2020-08-20,Standard,2308 Alta Vista Ave Unit B,45,2026-01-17,Multi-Family,837.0
Austin,1835,TX,Travis,78752,2,30.339931,2.0,-97.718567,48,453,2025-11-20,2025-11-21,Standard,810 W St Johns Ave,59,2026-01-17,Apartment,999.0
Austin,1192,TX,Travis,78752,1,30.339931,1.0,-97.718567,48,453,2025-11-20,2022-05-08,Standard,810 W St Johns Ave,59,2026-01-17,Apartment,596.0
Austin,1250,TX,Travis,78745,2,30.229583,1.0,-97.802042,48,453,2025-11-22,2020-02-15,Standard,2707 Windswept Cv,57,2026-01-17,Apartment,825.0
Austin,1595,TX,Travis,78727,2,30.421915,2.0,-97.696128,48,453,2025-11-21,2025-11-22,Standard,12801 Copper Cliff Ave Unit B,58,2026-01-17,Multi-Family,900.0
Austin,2500,TX,Travis,78728,4,30.459806,2.5,-97.689657,48,453,2025-12-03,2019-07-10,Standard,3912 Lemos Dr,46,2026-01-17,Single Family,2293.0
Austin,1099,TX,Travis,78704,1,30.23104,1.0,-97.76748,48,453,2025-01-03,2019-09-27,Standard,3508 S 1st St,365,2026-01-17,Apartment,480.0
